Name,Platform,AudienceSize,Description,AudienceSize_RU_All,BidSuggest_RU_All,BidMin_RU_All,BidMax_RU_All,DailyReachMin_RU_All,DailyReachMax_RU_All
"galaxy s6 edge",Android,15000000,"Samsung Galaxy S6 Edge",220000,3.27,2.99,3.76,,
"galaxy s6 edge plus",Android,4900000,"Samsung Galaxy S6 Edge Plus",22000,3.84,3.12,4.91,,
"galaxy s7",Android,1000,"Samsung Galaxy S7",270000,3.9,3.62,4.36,,
"galaxy s7 active",Android,1100000,"Samsung Galaxy S7 Active",1000,3.32,2.76,4.16,,
"galaxy s7 edge",Android,34000000,"Samsung Galaxy S7 Edge",290000,3.22,2.88,3.85,,
"galaxy s8",Android,1000,"Samsung Galaxy S8",310000,4.43,4.21,4.85,,
"galaxy s8+",Android,18000000,"Samsung Galaxy S8+",220000,4.17,3.61,5.15,,
"galaxy s9",Android,2700000,"Samsung Galaxy S9",19000,2.69,2.44,3.08,,
"galaxy s9+",Android,3900000,"Samsung Galaxy S9+",31000,4.22,3.88,4.65,,
"galaxy star",Android,2200000,"Samsung Galaxy Star",1000,0,0,0,,
"galaxy star 2",Android,560000,"Samsung Galaxy Star 2",1000,0,0,0,,
"galaxy star advance",Android,2200000,"Samsung Galaxy Star Advance",28000,4.1,4.1,4.1,,
"galaxy star pro",Android,4100000,"Samsung Galaxy Star Pro",34000,3.17,3.17,3.17,,
"galaxy star trios",Android,58000,"Samsung Galaxy Star Trios",1000,0,0,0,,
"galaxy tab 10.1",Android,1000,"Google Galaxy Tab 10.1",4200,3.73,3.35,4.41,,
"galaxy tab 2 10.1",Android,2000000,"Samsung Galaxy Tab 2 10.1",62000,2.21,2.08,2.4,,
"galaxy tab 2 7.0",Android,2400000,"Samsung Galaxy Tab 2 7.0",44000,2.28,2.04,2.63,,
"galaxy tab 3 10.1",Android,2500000,"Samsung Galaxy Tab 3 10.1",56000,3.97,3.7,4.45,,
"galaxy tab 3 7.0",Android,3700000,"Samsung Galaxy Tab 3 7.0",34000,1.73,1.73,1.78,,
"galaxy tab 3 8.0",Android,1800000,"Samsung Galaxy Tab 3 8.0",83000,2.27,2.08,2.56,,
"galaxy tab 3 lite",Android,7200000,"Samsung Galaxy Tab 3 Lite",30000,2.1,2.08,2.27,,
"galaxy tab 3 v",Android,6400000,"Samsung Galaxy Tab 3 V",26000,2.04,1.78,2.44,,
"galaxy tab 4 10.1",Android,4500000,"Samsung Galaxy Tab 4 10.1",78000,2.19,2.13,2.4,,
"galaxy tab 4 7.0",Android,6900000,"Samsung Galaxy Tab 4 7.0",62000,2.27,2.1,2.62,,
"galaxy tab 4 8.0",Android,1000,"Samsung Galaxy Tab 4 8.0",29000,2.28,2.05,2.61,,
"galaxy tab a",Android,19000,"Samsung Galaxy Tab A",1000,0,0,0,,
"galaxy tab a 10.1 (2016)",Android,7300000,"Samsung Galaxy Tab A 10.1 (2016)",55000,2.79,2.35,3.52,,
"galaxy tab a 7.0 (2016)",Android,4700000,"Samsung Galaxy Tab A 7.0 (2016)",60000,2.76,2.54,3.23,,
"galaxy tab a 8.0",Android,4000000,"Samsung Galaxy Tab A 8.0",59000,2.49,2.26,2.86,,
"galaxy tab a 9.7",Android,4800000,"Samsung Galaxy Tab A 9.7",67000,3.6,3.35,3.96,,
"galaxy tab e 8.0",Android,1700000,"Samsung Galaxy Tab E 8.0",1000,3.45,2.96,4.34,,
"galaxy tab e 9.6",Android,7200000,"Samsung Galaxy Tab E 9.6",79000,3.38,3.16,3.85,,
"galaxy tab pro 10.1",Android,330000,"Samsung Galaxy Tab Pro 10.1",10000,3.21,2.85,3.83,,
"galaxy tab s 10.5",Android,1600000,"Samsung Galaxy Tab S 10.5",38000,2.14,1.93,2.41,,
"galaxy tab s2 8.0",Android,1200000,"Samsung Galaxy Tab S2 8.0",14000,2.87,2.34,3.53,,
"galaxy tab s2 9.7",Android,2600000,"Samsung Galaxy Tab S2 9.7",19000,2.53,1.94,3.5,,
"galaxy trend",Android,1500000,"Samsung Galaxy Trend",1500,2.87,2.87,2.99,,
"galaxy trend lite",Android,1300000,"Samsung Galaxy Trend Lite",6400,1.69,1.69,1.69,,
"galaxy trend lite 2",Android,5300,"Samsung Galaxy Trend Lite 2",1000,0,0,0,,
"galaxy trend plus",Android,3000000,"Samsung Galaxy Trend Plus",1000,2.96,2.4,3.8,,
"galaxy v",Android,6100000,"Samsung Galaxy V",1000,2.62,1.99,3.48,,
"galaxy v plus",Android,3700000,"Samsung Galaxy V Plus",1000,0,0,0,,
"galaxy w",Android,240000,"Samsung Galaxy W",1000,2.11,1.67,2.95,,
"galaxy win",Android,250000,"Samsung Galaxy Win",1000,2.15,2.15,2.15,,
"galaxy win 2 duos tv",Android,980000,"Samsung Galaxy Win 2 Duos TV",1000,3.76,3.76,3.76,,
"galaxy win duos",Android,2500000,"Samsung Galaxy Win Duos",1000,0,0,0,,
"galaxy xcover 3",Android,1100000,"Samsung Galaxy Xcover 3",1000,2.4,2.02,2.92,,
"galaxy y",Android,3400000,"Samsung Galaxy Y",1000,4.84,4.11,5.91,,
"galaxy y duos",Android,960000,"Samsung Galaxy Y Duos",1200,2.14,2.01,2.36,,
"galaxy y plus",Android,350000,"Samsung Galaxy Y Plus",1000,0,0,0,,
"galaxy y pro",Android,34000,"Samsung Galaxy Y Pro",1000,0,0,0,,
"galaxy y tv",Android,59000,"Samsung Galaxy Y TV",1000,0,0,0,,
"galaxy young",Android,2000000,"Samsung Galaxy Young",1500,3.34,3.34,3.34,,
"galaxy young 2",Android,1000,"Samsung Galaxy Young 2",2500,0,0,0,,
"galaxy young 2 duos",Android,210000,"Samsung Galaxy Young 2 Duos",1000,0,0,0,,
"galaxy young plus tv",Android,450000,"Samsung Galaxy Young Plus TV",1000,0,0,0,,
gionee,Android,15000000,"Gionee Devices",52000,4.48,4.48,4.48,,
google,Android,16000000,"Google Devices",150000,2.26,2.13,2.49,,
gr3,Android,2400000,"Huawei GR3",21000,2.98,2.85,3.18,,
gr5,Android,1800000,"Huawei GR5",1000,2.15,1.72,2.98,,
"gr5 2017",Android,2400000,"Huawei GR5 2017",3800,1.95,1.77,2.21,,
"honor 3c",Android,830000,"Huawei Honor 3C",7500,3.28,3.28,3.49,,
"honor 4a",Android,62000,"Huawei Honor 4A",1000,0,0,0,,
"honor 4c",Android,1700000,"Huawei Honor 4C",82000,2.57,2.41,2.81,,
"honor 4x",Android,1300000,"Huawei Honor 4X",25000,2.5,2.5,2.5,,
"honor 5c",Android,1200000,"Huawei Honor 5C",140000,2.63,2.59,2.77,,
"honor 5x",Android,1000,"Huawei Honor 5X",71000,1.97,1.97,2.03,,
"honor 6x",Android,2300000,"Huawei Honor 6X",82000,2.84,2.84,2.89,,
"honor 8",Android,1600000,"Huawei Honor 8",130000,2.77,2.5,3.22,,
"honor bee",Android,1600000,"Huawei Honor Bee",48000,3.91,3.91,3.91,,
"honor holly",Android,1100000,"Huawei Honor Holly",7600,2.21,2.11,2.34,,
"hot 2",Android,800000,"Infinix Hot 2",1000,0,0,0,,
"hot 4",Android,1800000,"Infinix Hot 4",1000,0,0,0,,
"hot 4 lite",Android,2200000,"Infinix Hot 4 Lite",1000,0,0,0,,
"hot 5",Android,2000000,"Infinix Hot 5",1000,0,0,0,,
"hot 5 lite",Android,1000,"Infinix Hot 5 Lite",1000,2.42,2.42,2.46,,
"hot note",Android,1200000,"Infinix Hot Note",1000,2.35,1.98,3.01,,
htc,Android,33000000,"Htc Devices",620000,3.32,3.32,3.51,,
huawei,Android,190000000,"Huawei Devices",2900000,2.98,2.98,3.06,,
"ilium x210",Android,1100000,"Lanix Ilium X210",1000,0,0,0,,
infinix,Android,17000000,"Infinix Devices",1800,2.6,2.06,3.47,,
"iris 700",Android,240000,"Lava Iris 700",1000,0,0,0,,
"iris 820",Android,1000000,"Lava Iris 820",1000,0,0,0,,
it1408,Android,1300000,"Itel it1408",1000,0,0,0,,
it1409,Android,1300000,"Itel it1409",1000,0,0,0,,
it1508,Android,2400000,"Itel it1508",1000,0,0,0,,
itel,Android,18000000,"Itel Devices",1100,2.76,2.23,3.57,,
jerry,Android,1500000,"Wiko Jerry",1000,2.29,1.98,2.82,,
joy,Android,2200000,"Lg Joy",1000,0,0,0,,
"joy 3",Android,2000000,"Oppo Joy 3",1000,0,0,0,,
k10,Android,12000000,"Lg K10",96000,2.69,2.69,2.84,,
"k10 (2017)",Android,5200000,"Lg K10 (2017)",29000,2.52,2.25,3.52,,
"k20 plus",Android,2900000,"Lg K20 Plus",1000,0,0,0,,
"k3 note",Android,2200000,"Lenovo K3 Note",13000,1.99,1.92,2.19,,
k4,Android,1500000,"Lg K4",6100,3.5,3.5,3.55,,
"k4 (2017)",Android,1100000,"Lg K4 (2017)",1000,2.4,2.29,2.65,,
k5,Android,1700000,"Lg K5",31000,2.44,2.44,2.44,,
"k5 note",Android,5100,"Lenovo K5 Note",1000,0,0,0,,
"k6 note",Android,1600000,"Lenovo K6 Note",11000,2.23,2.23,2.23,,
"k6 power",Android,2000000,"Lenovo K6 Power",15000,2.5,2.5,2.5,,
k7,Android,1800000,"Lg K7",63000,2,2,2,,
k8,Android,5100000,"Lg K8",92000,2.4,2.4,2.42,,
"k8 (2017)",Android,2000000,"Lg K8 (2017)",25000,2.78,2.53,3.12,,
"kindle fire",Android,180000,"Amazon Kindle Fire",1000,0,0,0,,
"kindle fire hd 7 (2012)",Android,1000,"Amazon Kindle Fire HD 7 (2012)",1000,0,0,0,,
"kindle fire hd 7 (2013)",Android,190000,"Amazon Kindle Fire HD 7 (2013)",1000,0,0,0,,
"kindle fire hd 8.9",Android,110000,"Amazon Kindle Fire HD 8.9",1000,0,0,0,,
"kindle fire hdx 7",Android,320000,"Amazon Kindle Fire HDX 7",1000,0,0,0,,
"kindle fire hdx 8.9",Android,73000,"Amazon Kindle Fire HDX 8.9",1000,0,0,0,,
"l bello",Android,900000,"Lg L Bello",4200,2.49,2.49,2.59,,
"l fino",Android,380000,"Lg L Fino",1500,2.63,2.52,2.84,,
"l prime dual",Android,1300000,"Lg L Prime Dual",1000,0,0,0,,
l20,Android,930000,"Lg L20",1000,0,0,0,,
l50,Android,730000,"Lg L50",1000,0,0,0,,
l70,Android,1600000,"Lg L70",9100,2.96,2.95,3.16,,
lanix,Android,1000,"Lanix Devices",1000,0,0,0,,
lava,Android,20000000,"Lava Devices",3700,2.52,2.32,2.87,,
"lenny 2",Android,1000,"Wiko Lenny 2",1000,0,0,0,,
"lenny 3",Android,1300000,"Wiko Lenny 3",1000,0,0,0,,
lenovo,Android,78000000,"Lenovo Devices",1800000,2.37,2.37,2.37,,
leon,Android,1000,"Lg Leon",38000,4.06,4.06,4.2,,
lg,Android,140000000,"Lg Devices",1000000,3.1,3.06,3.26,,
magna,Android,1700000,"Lg Magna",40000,2.99,2.99,3.12,,
"mate 10 lite",Android,3700000,"Huawei Mate 10 Lite",44000,4.06,3.6,4.72,,
"mate 10 pro",Android,1000000,"Huawei Mate 10 Pro",1600,3.57,2.87,4.63,,
"mate 8",Android,910000,"Huawei Mate 8",3800,3.64,3.21,4.24,,
"mate 9",Android,1400000,"Huawei Mate 9",3400,3.94,3.19,5.18,,
"mediapad t1 7.0",Android,4000000,"Huawei MediaPad T1 7.0",59000,2.5,2.5,2.54,,
"mi 4i",Android,1300000,"Xiaomi Mi 4i",17000,3.19,3.11,3.37,,
"mi 5",Android,1200000,"Xiaomi Mi 5",150000,2.07,2.03,2.18,,
"mi a1",Android,6000000,"Xiaomi Mi A1",130000,3.81,3.61,4.25,,
"mi max",Android,1100000,"Xiaomi Mi Max",50000,3.3,3.12,3.6,,
